# YTID, start_seconds, end_seconds, positive_labels
AOS2pveakKg,160.0,170.0," ""/m/096m7z"""
AOTHPLM0v_k,30.0,40.0," ""/m/01bns_;/m/0d8_n"""
AOxNGED0RuA,30.0,40.0," ""/m/07bgp;/m/07q0h5t"""
AP8todOyU78,0.0,10.0," ""/m/06mb1;/m/0jb2l;/m/0ngt1;/t/dd00038"""
APLVQSoWj9k,30.0,40.0," ""/m/01g90h"""
APQkPSmLzCM,380.0,390.0," ""/m/015vgc"""
APYXZHZPCE4,50.0,60.0," ""/m/06mb1;/m/0jb2l;/m/0ngt1"""
APetMMb1Z7M,230.0,240.0," ""/m/0130jx;/m/02jz0l;/m/0838f"""
APgSOmHGSiE,30.0,40.0," ""/m/03kmc9;/m/0dgbq"""
APit6hIABQA,180.0,190.0," ""/m/07phhsh;/m/07yv9;/m/0k4j"""
AQP3QOPW7_0,140.0,150.0," ""/m/01d3sd;/m/068hy;/m/0bt9lr;/m/0jbk"""
AQTtrao9Wvc,16.0,26.0," ""/m/02fxyj"""
AQq_en5-zr0,90.0,100.0," ""/m/02p01q;/m/083vt"""
AQsybSUDCiQ,10.0,20.0," ""/m/07pzfmf"""
AR1ATLH-czY,30.0,40.0," ""/m/07s34ls"""
ARaYBPd898A,17.0,27.0," ""/t/dd00067"""
ARl3lwUhl_A,50.0,60.0," ""/m/03dnzn;/m/0838f"""
ASA0D6rf3RM,280.0,290.0," ""/m/03cczk;/t/dd00125"""
ASHHUdJ6tYg,520.0,530.0," ""/m/0mbct"""
ASgLbz48BaY,30.0,40.0," ""/m/01sm1g;/m/0l14md"""
ASh4LxB8vY0,30.0,40.0," ""/m/07pczhz"""
ASzOY50Dg38,0.0,10.0," ""/m/07rn7sz"""
ATbEwmTJwD0,30.0,40.0," ""/m/012n7d;/m/03j1ly;/m/03kmc9"""
ATcJtQMfKQc,30.0,40.0," ""/m/02rhddq;/m/07r04;/m/07yv9"""
ATio6IpLghw,430.0,440.0," ""/m/013y1f;/m/03xq_f"""
AUcEDg2iJWg,20.0,30.0," ""/m/0d31p"""
AV-A9n7szrI,70.0,80.0," ""/m/039jq;/t/dd00065"""
AV76SZTw6z8,30.0,40.0," ""/m/012n7d;/m/03j1ly;/m/03kmc9;/m/04qvtq"""
AVH1UWCXkbA,10.0,20.0," ""/m/03qc9zr;/m/07c52"""
AVIplOV78Rw,50.0,60.0," ""/m/0g6b5"""
AVbNj9FigS8,30.0,40.0," ""/m/027m70_"""
AW3agv6wpyw,140.0,150.0," ""/m/07pczhz"""
AWjbtXIIE54,26.0,36.0," ""/m/01jg02;/m/01jg1z"""
AWu1Gy0dajM,30.0,40.0," ""/m/02mk9;/m/07yv9;/t/dd00130"""
AX0gK-owIMc,140.0,150.0," ""/m/0mkg"""
AY_sCyNNOZk,160.0,170.0," ""/m/02jz0l;/m/03dnzn;/m/0838f"""
AYyX_Hj7aSU,21.0,31.0," ""/m/0c1dj;/m/0gy1t2s"""
AZ6WwVRKWV0,23.0,33.0," ""/m/03fwl;/m/0ch8v;/m/0jbk"""
AZDQxoDF5lA,30.0,40.0," ""/m/01z5f;/m/07qf0zm;/m/0jbk"""
AZO6ch_ocWg,200.0,210.0," ""/m/07r4gkf"""
AZWvTwtpTPY,160.0,170.0," ""/m/0261r1;/m/07rgt08"""
AZuUtYIw5kw,60.0,70.0," ""/m/02mk9;/m/04229;/m/07jdr"""
A_8Ce_kdBs4,30.0,40.0," ""/m/07yv9;/m/09ct_;/m/0k5j"""
A_NkQM85g6Q,30.0,40.0," ""/m/03q5t;/m/05148p4"""
A_Yd5huF2Pg,30.0,40.0," ""/m/013y1f;/m/01s0ps;/m/03gvt;/m/03xq_f;/m/05148p4;/m/05r5c"""
A__ad2L5XDc,30.0,40.0," ""/m/07plct2"""
A_gCnyI9LkY,100.0,110.0," ""/m/02qmj0d;/m/05pd6"""
A_vXA058EDY,30.0,40.0," ""/m/01m4t"""
AaT0JrbUCkg,60.0,70.0," ""/m/07pt_g0"""
AafHy3_jyRQ,30.0,40.0," ""/m/03kmc9;/m/0dgbq"""
Aai257FTBiQ,80.0,90.0," ""/m/019jd;/m/03m9d0z;/m/06q74;/t/dd00092"""
Aak-VLHtFPM,70.0,80.0," ""/m/01kcd;/m/01wy6"""
AareFwTIg1s,90.0,100.0," ""/m/0mkg"""
Aax8cjFZZ2o,0.0,10.0," ""/m/02y_763;/m/07yv9;/m/0k4j"""
Ab51oVS98Qo,60.0,70.0," ""/m/032s66;/m/04zjc"""
AbNB97ANUDA,0.0,10.0," ""/m/0939n_"""
AbWy9LUeDGE,50.0,60.0," ""/m/096m7z;/m/0cj0r"""
Abq_eNnRaXc,30.0,40.0," ""/m/07pjjrj"""
Ac2qvDbXmoY,30.0,40.0," ""/m/04229;/t/dd00067"""
AcO38gxUdoo,30.0,40.0," ""/m/012f08;/m/07rknqz;/m/07yv9;/m/0k4j"""
AcYTVEdlGE4,580.0,590.0," ""/m/039jq"""
Ad3cReOBK48,280.0,290.0," ""/m/01v_m0;/m/0hdsk"""
Ad7eEJyLcyw,30.0,40.0," ""/m/016622"""
AdTSpfTB0C8,190.0,200.0," ""/m/02mfyn"""
Adwe0AR0tRw,30.0,40.0," ""/m/0242l"""
AeBtC5LMsIc,10.0,20.0," ""/m/078jl"""
AeLvUayUxy0,0.0,10.0," ""/m/0j2kx"""
AeWRWWba3z4,30.0,40.0," ""/m/019jd;/m/034srq;/m/03m9d0z;/m/05kq4;/m/06q74;/t/dd00092"""
AeXpy3nQbW0,0.0,10.0," ""/m/0mbct"""
AehuCjMsKUs,20.0,30.0," ""/m/07p78v5"""
AemcWVbB2zI,30.0,40.0," ""/m/039jq;/m/07q7njn"""
Afmp32GPijM,210.0,220.0," ""/m/07plz5l"""
AgLm7rSg5JA,90.0,100.0," ""/m/032s66;/m/073cg4"""
Agi5ySKb1tY,23.7,33.7," ""/m/0c2wf"""
AgtjkahTVVw,170.0,180.0," ""/m/01g90h"""
Ah304Vt9l9U,0.0,10.0," ""/m/01h82_;/m/02mk9;/m/07pb8fc"""
AhObH_gupBE,480.0,490.0," ""/m/07pdhp0;/t/dd00125"""
Ahs54oWjuUo,30.0,40.0," ""/m/01rd7k;/m/025rv6n;/m/07svc2k"""
Ai3n8czRId8,100.0,110.0," ""/m/0dl83"""
AiQoXi32QIA,0.0,10.0," ""/m/07qv_d5;/m/07r04;/m/07yv9;/m/0912c9;/m/0k4j"""
AjDRLmZVHjI,9.0,19.0," ""/m/07qjznl;/m/07qjznt"""
Aj_pcXRx8Pw,30.0,40.0," ""/m/07s34ls"""
AjxTxv06KNU,460.0,470.0," ""/m/01h3n;/m/03vt0;/m/0h2mp"""
AkHaDKuiE_s,60.0,70.0," ""/m/0239kh;/m/026t6;/m/03t3fj;/m/06rvn;/m/0l14md"""
AkWEga9gUIQ,0.0,10.0," ""/m/01y3hg;/m/02dgv"""
Akg1n9IWSrw,0.0,10.0," ""/m/01qbl;/m/026t6;/m/03qtq;/m/03t3fj;/m/06rvn;/m/0bm02;/m/0l14md"""
Al2qQMp2RUA,30.0,40.0," ""/m/012ndj;/m/03j1ly;/m/03kmc9;/m/04qvtq"""
AlI7_vIYjro,20.0,30.0," ""/m/026fgl;/m/0f8s22"""
AlVr7-ntuqw,30.0,40.0," ""/m/01kcd;/m/07c6l"""
AlbnLVv3tpY,280.0,290.0," ""/m/03mb9"""
Alu9CCZUQ7g,19.0,29.0," ""/m/07r660_"""
AmJ3gQTMWAY,28.0,38.0," ""/m/07qn4z3"""
AmMeqzVMPRc,10.0,20.0," ""/m/04_sv;/m/07pb8fc;/m/07yv9"""
AmP1CbovFcs,230.0,240.0," ""/m/046dlr"""
AmjOw_qq0mY,430.0,440.0," ""/m/06xkwv;/m/07rcgpl;/m/07rgkc5"""
AmoaUQ8MIQ8,550.0,560.0," ""/m/01wy6"""
AnamA0tQL2g,30.0,40.0," ""/m/07pb8fc;/m/07yv9"""
Ao9pQPwLNHA,30.0,40.0," ""/m/07p9k1k;/m/07ptfmf"""
AoSIhCUpTYo,30.0,40.0," ""/m/015p6;/m/020bb7;/m/07r_25d;/m/0h0rv"""
AoYY_cXwZPs,30.0,40.0," ""/m/078jl;/m/07rjwbb"""
Ap4nvdEotqw,3.0,13.0," ""/m/0463cq4"""
ApDJYsi9UGg,30.0,40.0," ""/m/03qjg;/m/085jw"""
ApJA85gwNFo,30.0,40.0," ""/m/0l15bq"""
AqEKRa-YIis,60.0,70.0," ""/m/01jt3m;/m/0838f"""
AqYtUrWUX_s,0.0,10.0," ""/m/0gy1t2s"""
AqfteuxjI2g,0.0,10.0," ""/m/015p6;/m/09ddx;/m/0jbk"""
AqwOCxkhrjI,230.0,240.0," ""/m/014yck;/m/07yv9;/m/0cmf2;/m/0k5j;/t/dd00128"""
ArBDKeED_xA,70.0,80.0," ""/m/0d31p"""
ArE_BqO-YPk,5.0,15.0," ""/m/02jz0l;/m/07ptzwd;/m/0838f"""
ArIES6ScYzo,330.0,340.0," ""/m/07yv9;/m/09ct_;/m/0cmf2;/m/0k5j;/t/dd00129"""
ArQemnqgVbM,60.0,70.0," ""/m/03qtwd;/m/04gy_2"""
AriWjU24Wgc,350.0,360.0," ""/m/04229"""
ArsKCV3rkc4,30.0,40.0," ""/m/0192l;/m/085jw"""
ArtL_qXq5Rk,440.0,450.0," ""/m/0195fx;/m/01g50p;/m/0284vy3;/m/06d_3;/m/07jdr;/m/07rwm0c"""
AsOyt_aFuK8,30.0,40.0," ""/m/01yg9g;/m/07yv9"""
AsQXL6yXbvs,30.0,40.0," ""/m/03j1ly;/m/03kmc9;/m/04qvtq"""
AsSPcPFgGdE,30.0,40.0," ""/m/06mb1;/m/07r10fb"""
AsruYi3jygk,30.0,40.0," ""/m/07r4gkf"""
AtAMCrBszqk,240.0,250.0," ""/m/0mbct"""
AtBhjH3D0RY,10.0,20.0," ""/m/07q7njn"""
AtCS6gTpRLU,10.0,20.0," ""/m/07pyf11"""
AtWf5OAE8aM,30.0,40.0," ""/m/01kcd;/m/07c6l"""
Ats8Yb9WrDU,40.0,50.0," ""/m/085jw;/m/0l14j_"""
Aty2HP9Zr7g,30.0,40.0," ""/m/01j4z9"""
Au32Qi1j8Z0,210.0,220.0," ""/m/04zmvq"""
Au5NjQaR_T0,340.0,350.0," ""/m/032s66;/m/073cg4"""
AuG9i5cwGW0,230.0,240.0," ""/m/05rwpb"""
AuJ8X3TK3cU,40.0,50.0," ""/m/034srq;/m/03m9d0z;/m/05kq4;/m/06q74;/t/dd00092"""
AuVMi3pniEc,230.0,240.0," ""/m/07pdhp0;/t/dd00125"""
Auxntwy0vKk,30.0,40.0," ""/m/019jd;/m/02rlv9"""
AvU6bhvYl6A,7.0,17.0," ""/m/05x_td"""
AvUZN3f0YmA,510.0,520.0," ""/m/023vsd;/m/07pdjhy"""
AvwdLQP-Mlg,0.0,1.0," ""/m/07q6cd_"""
Aw0eXIShRzk,15.0,25.0," ""/m/06h7j;/t/dd00126"""
Aw7lwJt-pfI,10.0,20.0," ""/m/02bm9n;/m/05zc1;/t/dd00077"""
AwPgz95txYQ,8.0,18.0," ""/m/07phhsh;/m/07s34ls"""
AwSbAL6aUb4,0.0,9.0," ""/m/01hnzm"""
Awmz5L-c58I,40.0,50.0," ""/m/07s2xch"""
AwtHdODObEw,30.0,40.0," ""/m/02bk07"""
AxSqsHVKgpc,0.0,10.0," ""/m/05_wcq"""
Axov9pRGK7s,30.0,40.0," ""/m/03j1ly;/m/03kmc9;/m/04qvtq"""
Aysvc4tVke8,170.0,180.0," ""/m/0k65p"""
AywQ34L_nYg,50.0,60.0," ""/m/0brhx"""
AzZsdF3nf9g,30.0,40.0," ""/m/09ct_"""
B-Id6gGDi9E,15.0,25.0," ""/m/03qjg;/m/085jw"""
B-XS7rGmG0o,30.0,40.0," ""/m/0l15bq"""
B-taUyzj_yc,30.0,40.0," ""/m/015p6;/m/020bb7;/m/07r_25d;/m/0h0rv"""
B0OKth2k2-w,30.0,40.0," ""/m/02yds9"""
B0ay3dJ4T4Q,300.0,310.0," ""/m/01b82r;/m/083vt"""
B0f3QYWaCJg,8.0,18.0," ""/m/04fq5q"""
B124lzkVThY,0.0,10.0," ""/m/07s12q4"""
B1ixRtiUJ-U,30.0,40.0," ""/m/01xqw;/m/02fsn;/m/0l14_3"""
B1nTZdaKICM,30.0,40.0," ""/m/03qtwd;/t/dd00135"""
B27Rhx0m4dw,0.0,10.0," ""/m/01w250"""
B2yLFcmZ51I,100.0,110.0," ""/m/026z9"""
B2zlyUiQ-r8,100.0,110.0," ""/m/0130jx;/m/02jz0l;/m/0838f"""
B3CwXuvzvHI,17.0,27.0," ""/m/015p6;/m/020bb7;/m/025rv6n;/m/07qn5dc;/m/07st89h;/m/09b5t"""
B4M6vp3coH0,30.0,40.0," ""/m/07pn_8q"""
B4b7BVwW4eI,30.0,40.0," ""/m/07pjjrj"""
B4k036R3wQE,18.0,28.0," ""/m/01y3hg"""
B4lGhVjoMTk,210.0,220.0," ""/m/0l14t7"""
B5D1Er0X8FM,410.0,420.0," ""/m/02bk07"""
B5q2_BUZavk,7.0,17.0," ""/m/07qwyj0;/m/07r10fb"""
B610gp0IKZE,21.0,31.0," ""/m/07pczhz"""
B6Bgv9gGCmY,370.0,380.0," ""/m/0150b9"""
B6LfW54PyZ0,30.0,40.0," ""/m/0239kh"""
B6mlTpJ-b7s,10.0,20.0," ""/m/07qfgpx"""
B6ztq8nBfBU,20.0,30.0," ""/m/02rtxlg"""
B7HEn8biLrU,11.0,21.0," ""/m/07ptzwd"""
B8QSRndv8mM,280.0,290.0," ""/m/04rzd"""
B8vWu_8foaA,30.0,40.0," ""/m/01b82r"""
B9n4a5ciI48,16.0,26.0," ""/m/02mk9;/m/07pb8fc;/m/07yv9;/m/0k4j;/t/dd00066;/t/dd00130"""
BAB5U7kCOH0,380.0,390.0," ""/m/012n7d;/m/03j1ly;/m/03kmc9"""
BAVk6o3ZhMw,120.0,130.0," ""/m/012xff"""
BA_nJrD4lQQ,40.0,50.0," ""/m/012f08;/m/02mk9;/m/07pb8fc;/m/07r04;/m/07yv9;/t/dd00130"""
BAi-G6k8XWM,30.0,40.0," ""/m/07pn_8q"""
BBHrgydyuW0,30.0,40.0," ""/m/03wvsk"""
BBYIJjcxapk,30.0,40.0," ""/m/02mfyn"""
BBcXJhZHNZ8,0.0,10.0," ""/m/07rgkc5"""
BBlzg67T3aA,30.0,40.0," ""/m/07qnq_y"""
BCVE9BA7wyw,30.0,40.0," ""/m/07st88b;/m/09ld4"""
BCjak4QKscc,30.0,40.0," ""/m/019jd;/m/056ks2"""
BCnP8sqnHcw,0.0,10.0," ""/m/0242l"""
BDdBGKVQw_Y,30.0,40.0," ""/m/07r_80w;/m/09d5_"""
BDvQNm7FggM,0.0,10.0," ""/m/011k_j"""
BEBOP2QIhFU,240.0,250.0," ""/m/019jd;/m/07hvw1;/m/07yv9"""
BEZdszHKGTQ,20.0,30.0," ""/m/03qjg;/m/085jw"""
BEhIGoq9tow,160.0,170.0," ""/m/02v2lh"""
BEjKBSLm2fc,10.0,20.0," ""/m/06_y0by"""
BEuIJ5dw5kY,0.0,10.0," ""/m/06mb1;/m/0jb2l;/m/0ngt1"""
BFPSKB99Anw,0.0,10.0," ""/m/06_y0by"""
BFWN_OXjYM0,17.0,27.0," ""/m/01yrx;/m/02yds9;/m/068hy;/m/0jbk"""
BFti0v_mGeM,390.0,400.0," ""/m/0j6m2"""
BG0FlwMkpVk,30.0,40.0," ""/m/07pczhz"""
BGag_9faOuA,7.0,17.0," ""/m/0912c9"""
BGmZ05m1-8M,250.0,260.0," ""/m/03qtwd;/m/04gy_2"""
BGywP1-ZPAk,30.0,40.0," ""/m/07yv9;/m/09ct_;/m/0k5j"""
BH0rbQ6zHlw,13.0,23.0," ""/m/05zc1;/t/dd00077"""
BH9nlxRHPD4,90.0,100.0," ""/m/0c2wf"""
BHH8J89mAFQ,460.0,470.0," ""/m/025td0t"""
BHoQSFUkZvs,100.0,110.0," ""/m/0j2kx"""
BHqX1Jxxr5k,160.0,170.0," ""/m/012ndj;/m/03j1ly;/m/03kmc9"""
BI4fjQBZliY,30.0,40.0," ""/m/07s34ls"""
BIK1Ds79KVM,120.0,130.0," ""/m/0c3f7m"""
BJ8up8BXMjg,570.0,580.0," ""/m/03wwcy"""
BJAIuP5qWUk,30.0,40.0," ""/t/dd00088"""
BJIjBi5qwDQ,190.0,200.0," ""/m/07st88b;/m/09ld4"""
BJVFqd7WYxA,390.0,400.0," ""/m/02_41;/m/03m9d0z"""
BL6DESnl79Y,2.0,12.0," ""/m/07bgp;/m/07q0h5t"""
BLWA-v_ZW8g,90.0,100.0," ""/m/0j6m2"""
BLnOPA7oMxY,370.0,380.0," ""/m/028ght"""
BM0MSMJBCrA,30.0,40.0," ""/m/012f08;/m/07pyf11;/m/07q2z82;/m/07yv9;/m/0btp2;/m/0k4j"""
BMZBh8w1beA,30.0,40.0," ""/m/07rgt08"""
BMcKVcaBDFk,540.0,550.0," ""/m/01lsmm"""
BMizovbaUbc,180.0,190.0," ""/m/012xff"""
BMqxW3bs0iU,30.0,40.0," ""/m/03j1ly;/m/03kmc9;/m/04qvtq;/t/dd00134"""
BMxgDBoPv_0,0.0,10.0," ""/m/01s0ps;/m/05148p4;/m/05r5c"""
BNxyMPVM3U8,22.0,32.0," ""/m/07rv4dm"""
BOJOxMrM1aM,2.0,12.0," ""/m/07pxg6y"""
BOOgP_e6-kQ,510.0,520.0," ""/m/07rrh0c"""
BObRXW-Ld7k,0.0,6.0," ""/m/07ryjzk"""
BObh9pDaqdU,430.0,440.0," ""/m/0130jx;/m/0838f"""
BOjDttEtfGI,550.0,560.0," ""/m/025rv6n;/m/07st89h;/m/09b5t"""
BOoXaJfTsrQ,80.0,90.0," ""/m/0261r1"""
BPaSzwJo1Vw,30.0,40.0," ""/m/07pn_8q"""
BPdZbU64uPw,30.0,40.0," ""/m/06_fw"""
BQ1JuiTKfAQ,30.0,40.0," ""/m/02qmj0d"""
BQOewFB5bw4,20.0,30.0," ""/m/01280g;/m/0jbk"""
BQWPvKrN07c,10.0,20.0," ""/m/019jd;/m/034srq;/m/03m9d0z;/m/0hsrw;/t/dd00092"""
BQWXKuFYuro,160.0,170.0," ""/m/032s66;/m/073cg4"""
BRK2rXjsn_s,200.0,210.0," ""/m/01b82r"""
BRKKO44P6Oc,20.0,30.0," ""/m/01g90h"""
BRje9BbrlgI,6.0,16.0," ""/m/07qn4z3"""
BSLriWJ7hn8,30.0,40.0," ""/m/0192l;/m/085jw"""
BSPjTGVP1I4,30.0,40.0," ""/m/032s66;/m/04zjc"""
BSlMz-I51H8,30.0,40.0," ""/m/06hps"""
BSxcEQgZsXk,60.0,70.0," ""/m/07s02z0"""
BTDG8u-q1Gg,90.0,100.0," ""/m/01d3sd;/m/0lyf6"""
BTMWpYzpu5g,60.0,70.0," ""/m/01p970;/m/026t6;/m/0l14md"""
BTZiBsqBMWo,250.0,260.0," ""/m/0d31p"""
BTa9mc388f0,30.0,40.0," ""/m/07ryjzk"""
BTsga9GXN-s,10.0,20.0," ""/m/07plz5l;/t/dd00125"""
BTxwsd0wOMg,70.0,80.0," ""/m/01j4z9;/m/07k1x;/m/0_ksk"""
BUEgYD_M200,10.0,20.0," ""/m/06hps;/m/07r4gkf"""
BUX0-o30zgE,190.0,200.0," ""/m/07s12q4"""
BV49gEN-0l0,60.0,70.0," ""/m/03kmc9;/m/0dgbq"""
BVch9SzTjZw,30.0,40.0," ""/m/019jd;/m/034srq;/m/03m9d0z;/m/05kq4;/m/0hsrw;/t/dd00092"""
BVlh3igb-7g,0.0,10.0," ""/m/01x3z"""
BVonSUC3zIQ,20.0,30.0," ""/m/085jw;/m/0l14l2"""
BVt8RgNrwbQ,30.0,40.0," ""/m/0l14t7"""
BVwe13xVidc,0.0,10.0," ""/m/02qmj0d"""
BWBFSXr7qFo,30.0,40.0," ""/m/01jwx6"""
BWP4MGoC1SI,1.0,11.0," ""/m/01d380;/m/07k1x;/m/0_ksk"""
BWfsqYJSCAA,20.0,30.0," ""/m/07mzm6"""
BWsCxGWd4Is,0.0,10.0," ""/m/07rqsjt"""
BXadkmPoK_Q,140.0,150.0," ""/m/01jt3m;/m/0838f"""
BXcEsM8ykhE,30.0,40.0," ""/m/03m5k;/m/0d8_n"""
BXfY7CSGd0Y,0.0,10.0," ""/m/068hy;/m/0bt9lr;/m/0ghcn6;/m/0jbk"""
BXzfYZoN9oc,40.0,50.0," ""/m/04_sv;/m/05x_td;/m/07yv9;/m/0912c9"""
BY0UIqOdiJE,10.0,20.0," ""/m/07rdhzs;/m/07ryjzk"""
BYNisb8TQ9g,80.0,90.0," ""/m/014yck;/m/07yv9;/m/09ct_;/m/0k5j"""
BYXVBTmoBpo,500.0,510.0," ""/m/023vsd;/m/07pdjhy;/m/083vt"""
BYbIKQqGE2U,30.0,40.0," ""/m/012ndj;/m/03j1ly;/m/03kmc9"""
BYdB-oFZUZM,10.0,20.0," ""/m/01yrx;/m/068hy;/m/07r81j2;/m/0jbk"""
BYdBPbSYSvg,30.0,40.0," ""/m/01jg1z"""
BYnYTgeM6Go,30.0,40.0," ""/m/0192l;/m/085jw"""
BYpII-rSojM,20.0,30.0," ""/m/07p7b8y;/t/dd00125"""
BZ2uzpTWQto,30.0,40.0," ""/m/025rv6n;/m/07qn5dc;/m/09b5t"""
BZTSmF9zt_Q,30.0,40.0," ""/m/02mk9;/m/07yv9;/m/0k4j;/t/dd00066"""
BZXS6ZhiJ3Y,550.0,560.0," ""/m/02jz0l;/m/03dnzn;/m/0838f"""
BZtLVLGnILI,30.0,40.0," ""/m/012ndj;/m/03j1ly;/m/03kmc9"""
B_0BhgLHPNo,30.0,40.0," ""/m/02mk9;/m/07q2z82;/m/07yv9;/t/dd00067"""
B_DkmRilXyU,30.0,40.0," ""/m/03l9g;/m/07k1x"""
B_hJGfaCXq8,30.0,40.0," ""/m/0g6b5"""
Bar1jMJv_Rw,30.0,40.0," ""/m/07bjf"""
BbLkppp3QZc,30.0,40.0," ""/m/019jd;/m/034srq;/m/03m9d0z;/m/05kq4;/m/0838f;/m/0hsrw;/m/0j6m2;/t/dd00092"""
BbkwSomTh3g,20.0,30.0," ""/m/0mbct"""
Bbm-b0z_XpE,30.0,40.0," ""/m/01x3z;/m/046dlr;/m/07pp_mv"""
Bc6AIHASWxI,30.0,40.0," ""/m/03qtwd;/m/053hz1;/t/dd00135"""
BcOMQ6-b5Jo,100.0,110.0," ""/m/07qb_dv"""
BcVapmCbULQ,30.0,40.0," ""/m/01qbl;/m/026t6;/m/02hnl;/m/03qtq;/m/03t3fj;/m/06rvn;/m/0bm02;/m/0l14md"""
BcbsfR7L8FY,0.0,10.0," ""/m/0dl83"""
BcdeXloL8Ck,30.0,40.0," ""/m/07pczhz"""
BceDXBeTS9k,140.0,150.0," ""/m/01v_m0;/m/07n_g"""
Bd2F5bD0NzQ,40.0,50.0," ""/m/01v_m0"""
Bd9TjPP31U0,130.0,140.0," ""/m/015lz1;/m/0gywn"""
Bdi9NEo8cDU,30.0,40.0," ""/m/019jd;/m/03m9d0z;/m/06q74;/t/dd00092"""
Bdkov4O7umk,170.0,180.0," ""/m/013y1f;/m/03gvt"""
Bdu2CGe1uyw,130.0,140.0," ""/m/01s0vc"""
Be0z4cALwJo,20.0,30.0," ""/m/06mb1;/m/0jb2l;/m/0ngt1"""
Bei0nxLx86c,50.0,60.0," ""/m/0fqfqc"""
BejkSBD0dPo,60.0,70.0," ""/m/027m70_"""
Bf0r1QRW8q4,4.0,14.0," ""/m/07p_0gm;/m/07rcgpl"""
Bfi4uylYUFo,100.0,110.0," ""/m/012xff"""
BgH3PEVaD_0,30.0,40.0," ""/m/02bm9n;/m/07qh7jl;/m/0l7xg;/t/dd00077"""
BgUWb7ArWSM,30.0,40.0," ""/m/012ndj;/m/03j1ly;/m/03kmc9"""
Bgcvw5VEabw,130.0,140.0," ""/m/0dv5r"""
Bh2dm_FYKpE,30.0,40.0," ""/t/dd00002"""
Bh4oxwlwQMY,86.1,96.1," ""/m/01y3hg"""
BhYaXU1MVcQ,10.0,20.0," ""/m/085jw;/m/0l14l2"""
Bh_TUphLoZ0,590.0,600.0," ""/m/02pjr4"""
BhkX37Oj6CI,60.0,70.0," ""/m/02dgv"""
BiBk_JCPmI8,60.0,70.0," ""/m/02cz_7"""
BiIRK96m0Ho,30.0,40.0," ""/m/01kcd;/m/06ncr;/m/085jw"""
BiMI6fs8S6w,250.0,260.0," ""/m/0642b4;/m/068hy;/m/0bt9lr;/m/0jbk"""
BibLeh4majE,10.0,20.0," ""/m/0k65p"""
BicuOQEwE2E,20.0,30.0," ""/m/07r5v4s"""
Bj7_pVIHsnE,30.0,40.0," ""/m/07ptzwd;/m/0838f"""
Bj8ORprzR6Y,6.0,16.0," ""/m/02dgv;/m/07qcpgn"""
Bj9KEmLWRek,30.0,40.0," ""/m/02p01q;/m/07pdjhy"""
BjBO3Zxw5cc,130.0,140.0," ""/m/02p01q;/m/07pdjhy;/m/083vt"""
BjKTGhSeGyE,30.0,40.0," ""/m/03kmc9;/m/0dgbq"""
BjWf0keANT8,21.0,31.0," ""/m/01v_m0"""
BjWrd0Z8rkw,30.0,40.0," ""/m/0cj0r"""
BjaFlBPF4ZM,3.0,13.0," ""/m/032n05"""
BjeQlVr9KnM,90.0,100.0," ""/m/02jz0l;/m/03dnzn;/m/0838f"""
BjtvlMU6ZQo,30.0,40.0," ""/m/07pl1bw;/m/083vt"""
Bjw3c23Hozs,30.0,40.0," ""/m/078jl;/m/07rjwbb"""
BkSCfcTBMRY,230.0,240.0," ""/m/01xqw;/m/02fsn;/m/05148p4;/m/05r5c;/m/07y_7;/m/0l14_3"""
BkiVd188Cqs,0.0,10.0," ""/m/01j4z9;/m/07k1x;/m/0_ksk"""
BkjvDGA8_94,60.0,70.0," ""/m/068hy;/m/07q6cd_;/m/07qf0zm;/m/0bt9lr;/m/0jbk"""
BlPpxmAGRHw,0.0,2.0," ""/m/07r660_"""
BlfvcQ3gqFg,90.0,100.0," ""/m/03kmc9;/m/0dgbq"""
Bm2nWL4QaK4,0.0,5.0," ""/m/07q6cd_"""
BmF0NaiBp0I,30.0,40.0," ""/m/07r10fb"""
Bmia-ls4RQk,80.0,90.0," ""/m/05_wcq"""
BmkqueB0Vrs,30.0,40.0," ""/m/019jd;/m/03m9d0z;/m/06q74;/t/dd00092"""
BnhNPNP64ik,30.0,40.0," ""/m/04zmvq;/m/06hck5;/m/06wzb;/m/07rjwbb"""
BoSHA6-rvxM,110.0,120.0," ""/m/018vs"""
BoeZQKVuwA4,30.0,40.0," ""/m/06wzb;/m/07rjwbb"""
BojCkFK3pNg,30.0,40.0," ""/m/03q5t;/m/05148p4"""
Bp8cbZQmIzQ,0.0,9.0," ""/m/01xq0k1;/m/07rpkh9;/m/0ch8v"""
BpDu70Sa6qo,60.0,70.0," ""/m/012xff"""
BpLUOKHl51E,0.0,10.0," ""/m/01xqw;/m/02fsn;/m/07y_7;/m/0l14_3"""
Bpfz1iGvbEM,510.0,520.0," ""/m/026t6;/m/02k_mr;/m/0l14md"""
Bpu4dXxMhOs,30.0,40.0," ""/m/07yv9;/m/0btp2"""
BrTZo_kyvtc,30.0,40.0," ""/m/03vt0;/m/09f96;/m/0h2mp"""
BrvjJPYROMc,30.0,40.0," ""/m/02mk9;/m/07pb8fc;/m/07yv9;/m/096m7z;/t/dd00066"""
Bs0hFfFJfQg,540.0,550.0," ""/m/0ghcn6"""
Bs6v2aPYtfI,130.0,140.0," ""/m/02p01q;/m/07pdjhy"""
Bt-h7IczpuM,40.0,50.0," ""/t/dd00065"""
